"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"NT2,NT1";"net_tie2";2;"Net-Tie_2";;;
2;"C34,C33,C10,C11,C12,C13";"C_0805";6;"C";;;
3;"L2,L1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"I";;;
4;"P8,P9";"Socket_BeagleBone_Black";2;"BeagleBone_Black_Header";;;
5;"R17,R18";"R_0603";2;"0";;;
6;"IC9";"PQFN50P300X300X100-16N";1;"LSM303D";;;
7;"IC10";"16-PIN-LPCC";1;"HMC5883L-TR";;;
8;"IC5";"SOIC127P800X203-8N";1;"CAT24C256WI-GT3";;;
9;"IC11";"BMP180";1;"BMP180";;;
10;"IC4,IC2";"SOIC127P600X160-16N";2;"HX711";;;
11;"IC6,IC7";"SOP65P640X120-16N";2;"AD7793BRUZ";;;
12;"IC12";"SOP50P640X120-38N";1;"ADS8688IDBT";;;
13;"IC13";"LGA(3X3X1.0-16L)";1;"L3GD20H";;;
14;"IC8";"QFN40P300X300X95-25N-D";1;"MPU-6500";;;
15;"IC3";"SOIC127P1032X265-16N";1;"DS3231S";;;
16;"U1";"4525DO-DS...P";1;"4525DO-DS5AI001DP";;;
17;"J5";"test_pad";1;"M_WP";;;
18;"SW1";"SW_DIP_x2_W5.08mm_Slide_Copal_CHS-A";1;"SW_DIP_x02";;;
19;"C24,C9";"C_0805";2;"22u";;;
20;"J11,J4,J6,J16";"JST_SH_BM06B-SRSS-TB_06x1.00mm_Straight";4;"Conn_01x06";;;
21;"J3";"JST_SH_BM02B-SRSS-TB_02x1.00mm_Straight";1;"Conn_01x02";;;
22;"J1,J2,J7,J8,J9,J10,J12,J13,J14,J15";"JST_SH_BM04B-SRSS-TB_04x1.00mm_Straight";10;"Conn_01x04";;;
23;"C1,C6,C18,C25,C29,C32";"C_0805";6;"10u";;;
24;"C2,C14,C31";"C_0805";3;"10n";;;
25;"C3,C4,C5,C7,C8,C15,C16,C19";"C_0805";8;"0.1u";;;
26;"C17,C27";"C_0805";2;"4.7u";;;
27;"C20,C26,C30";"C_0805";3;"1u";;;
28;"C21";"C_0805";1;"0.22u";;;
29;"C22,C23,C28";"C_0805";3;"100n";;;
30;"IC1";"QFN40P300X300X105-25N-D";1;"MPU-9250";;;
31;"Q1,Q2";"SOT-23";2;"BC807";;;
32;"R1,R2,R3,R4,R5,R6,R13,R14";"R_0603";8;"R";;;
33;"R7,R8,R9";"R_0603";3;"4.7k";;;
34;"R10,R11,R12,R15,R16";"R_0603";5;"10k";;;
35;"G***";"LOGO";1;"LOGO";;;
